BukGu_도시국_건설과,BukGu_도시국_도시행정과,BukGu_감사실,BukGu_도시국_건축주택과,BukGu_복지환경국_자원순환과,BukGu_복지환경국_환경관리과,BukGu_도시국_교통과,BukGu_문화녹지국_공원녹지과,BukGu_읍/면/동사무소,BukGu_도시국_도시관리과,BukGu_주민생활지원국_환경관리과,BukGu_도시국_재난안전과,DalseongGun_건설도시국_건축과,DalseongGun_건설도시국_안전총괄과,DalseongGun_문화관광국_공원녹지과,DalseongGun_건설도시국_건설과,DalseongGun_경제환경국_교통과,DalseongGun_교육복지국_교육정책과,DalseongGun_경제환경국_환경과,DalseongGun_건설도시국_도시정비과,DalseongGun_읍/면/동사무소,DalseongGun_자치행정국_종합민원과,DalseongGun_경제환경국_청소위생과,DalseongGun_문화관광국_문화예술과,DalseongGun_경제환경국_농업정책과,DalseongGun_보건소_보건과,DalseongGun_건설도시국_도시계획과,DalseongGun_건설도시국_교통과,DalsuGu_도시창조국_공원녹지과,DalsuGu_경제환경국_청소과,DalsuGu_경제환경국_주차관리과,DalsuGu_경제환경국_교통행정과,DalsuGu_도시창조국_건설과,DalsuGu_도시창조국_건축과,DalsuGu_경제환경국_기후환경과,DalsuGu_읍/면/동사무소,DalsuGu_보건소_보건행정과,DalsuGu_경제환경국_환경보호과,DalsuGu_도시창조국_도시재생과,DalsuGu_복지문화국_문화체육관광과,DalsuGu_자치행정국_총무과,DalsuGu_경제환경국_일자리경제과,DalsuGu_경제환경국_녹색환경과,DalsuGu_도시건설국_도시관리과,DalsuGu_보건소_보건과,DongGu_도시안전국_건설과,DongGu_도시안전국_교통과,DongGu_도시안전국_건축주택과,DongGu_도시안전국_도시과,DongGu_도시안전국_공원녹지과,DongGu_경제복지국_경제지원과,DongGu_경제복지국_환경녹색과,DongGu_보건소_보건의약과,DongGu_읍/면/동사무소,DongGu_행정문화국_행정지원과,DongGu_복지생활국_환경자원과,DongGu_도시건설국_교통과,DongGu_복지생활국_경제과,DongGu_도시건설국_건설과,DongGu_도시건설국_도시디자인과,DongGu_도시건설국_건축주택과,DongGu_안전행정국_평생학습과,DongGu_도시건설국_안전녹지과,DongGu_주민생활지원국_환경청소과,DongGu_도시건설국_도시공원과,JungGu_도시안전국_건설과,JungGu_도시안전국_건축주택과,JungGu_도시안전국_교통과,JungGu_보건소_보건과,JungGu_관광경제국_환경자원과,JungGu_읍/면/동사무소,JungGu_관광경제국_문화교육과,JungGu_기획예산실,JungGu_환경건설국_교통과,JungGu_환경건설국_건축주택과,JungGu_도시재생국_도시재생과,JungGu_도시재생국_관광자원과,JungGu_환경건설국_녹색환경과,JungGu_환경건설국_건설안전과,JungGu_도시관광국_건축주택과,JungGu_행정지원국_경제과,JungGu_안전행정국_경제과,JungGu_도시관광국_건설과,JungGu_주민생활지원국_문화관광과,JungGu_도시국_도시관리과,JungGu_주민생활지원국_환경과,JungGu_총무국_총무과,NamGu_도시국_건설과,NamGu_도시국_도시행정과,NamGu_감사실,NamGu_도시국_건축주택과,NamGu_복지환경국_자원순환과,NamGu_복지환경국_환경관리과,NamGu_도시국_교통과,NamGu_문화녹지국_공원녹지과,NamGu_읍/면/동사무소,NamGu_도시국_도시관리과,NamGu_주민생활지원국_환경관리과,NamGu_도시국_재난안전과,SeoGu_읍/면/동사무소,SeoGu_보건소_보건행정과,SeoGu_도시안전국_건축주택과,SeoGu_도시안전국_교통과,SeoGu_도시안전국_도시공원과,SeoGu_복지생활국_환경청소과,SeoGu_도시안전국_도시재생과,SeoGu_자치행정국_문화홍보과,SeoGu_도시안전국_건설과,SeoGu_자치행정국_총무과,SeoGu_기획예산실,SeoGu_자치행정국_종합민원과,SeoGu_도시국_교통과,SeoGu_도시국_도시관리과,SeoGu_도시국_건설방재과,SeoGu_주민생활지원국_경제과,SeoGu_주민생활지원국_환경관리과,SeoGu_도시국_건축주택과,SeoGu_주민생활지원국_복지사업과,SeoGu_도시국_건설과,SeoGu_기획감사실,SeoGu_사회산업국_환경관리과,SeoGu_사회산업국_청소과,Suseonggu_도시국_건설과,Suseonggu_복지국_자원순환과,Suseonggu_도시국_교통과,Suseonggu_도시국_건축과,Suseonggu_복지국_녹색환경과,Suseonggu_도시국_공원녹지과,Suseonggu_읍/면/동사무소,Suseonggu_도시국_도시디자인과,Suseonggu_보건소_보건행정과,Suseonggu_복지국_경제환경과,Suseonggu_교육문화국_문화체육과,Suseonggu_복지국_복지과
"('도로', 1197)","('불법', 108)","('불법', 6189)","('수', 1784)","('쓰레기', 817)","('소음', 478)","('주차', 3408)","('공원', 285)","('주민', 215)","('공원', 442)","('쓰레기', 786)","('불법', 519)","('아파트', 1023)","('수', 127)","('공원', 249)","('도로', 672)","('주차', 523)","('어린이집', 101)","('공사', 319)","('가로등', 95)","('쓰레기', 119)","('공사', 38)","('쓰레기', 75)","('달성', 83)","('수', 68)","('보건소', 110)","('도로', 54)","('차량', 156)","('공원', 893)","('쓰레기', 1276)","('주차', 3479)","('차량', 193)","('도로', 592)","('아파트', 719)","('공사', 143)","('주민', 269)","('방역', 105)","('공사', 510)","('불법', 116)","('수', 98)","('업무', 155)","('수', 102)","('소음', 473)","('공원', 591)","('장례식장', 357)","('도로', 240)","('주차', 1031)","('아파트', 736)","('현수막', 95)","('공원', 205)","('개', 83)","('소음', 344)","('보건소', 114)","('주민', 134)","('설치', 96)","('쓰레기', 249)","('주차', 1401)","('개', 68)","('도로', 559)","('불법', 84)","('아파트', 901)","('동구', 113)","('공원', 180)","('쓰레기', 489)","('공원', 178)","('공사', 39)","('조합', 1057)","('주차', 373)","('방역', 55)","('소음', 47)","('주민', 79)","('청라', 300)","('중구', 83)","('주차', 1371)","('공사', 104)","('가로수', 42)","('년', 57)","('쓰레기', 213)","('도로', 36)","('중구', 909)","('일', 88)","('중구', 492)","('공사', 227)","('수', 52)","('사람', 64)","('쓰레기', 187)","('주차', 114)","('도로', 1197)","('불법', 108)","('불법', 6178)","('수', 1784)","('쓰레기', 817)","('소음', 478)","('주차', 3408)","('공원', 285)","('주민', 215)","('공원', 442)","('쓰레기', 786)","('불법', 519)","('주차', 110)","('모기', 38)","('소음', 266)","('주차', 396)","('공원', 151)","('쓰레기', 291)","('서구', 110)","('서구', 63)","('가로등', 110)","('서구', 90)","('서구', 109)","('여권', 48)","('주차', 1056)","('공원', 153)","('공사', 102)","('오픈', 162)","('쓰레기', 429)","('구청', 182)","('서구', 60)","('도로', 38)","('수', 57)","('소음', 36)","('쓰레기', 96)","('도로', 1066)","('쓰레기', 715)","('주차', 3296)","('수', 3384)","('소음', 795)","('공원', 803)","('주민', 116)","('도로', 121)","('모기', 115)","('소음', 735)","('도서관', 343)","('수', 105)"
"('수', 1123)","('단속', 97)","('시장', 4369)","('시설', 1763)","('분리수거', 185)","('공사', 467)","('단속', 2172)","('나무', 131)","('일', 137)","('수', 275)","('수', 379)","('단속', 504)","('입주민', 655)","('천', 93)","('수', 143)","('멜', 502)","('설치', 485)","('아이', 94)","('소음', 312)","('설치', 87)","('민원', 104)","('민원', 33)","('민원', 46)","('수', 68)","('견', 45)","('달성군', 76)","('민원', 51)","('주차', 151)","('수', 271)","('수거', 635)","('단속', 2528)","('주차', 186)","('공사', 470)","('공사', 711)","('소음', 134)","('센터', 187)","('바퀴벌레', 85)","('소음', 495)","('도로', 115)","('구청', 83)","('정규직', 88)","('시장', 86)","('공사', 442)","('수', 338)","('주민', 325)","('민원', 147)","('단속', 561)","('수', 734)","('불법', 65)","('주민', 113)","('민원', 60)","('쓰레기', 322)","('동구', 96)","('일', 130)","('가로등', 87)","('소음', 165)","('단속', 901)","('수', 65)","('앞', 363)","('단속', 75)","('공사', 617)","('수', 86)","('수', 95)","('음식물', 294)","('수', 101)","('수', 30)","('조합원', 845)","('단속', 186)","('모기', 49)","('공사', 29)","('사람', 54)","('중구', 274)","('민원', 82)","('단속', 996)","('민원', 58)","('민원', 36)","('김광석', 53)","('수', 89)","('민원', 27)","('입주', 812)","('중구', 76)","('마트', 387)","('도로', 140)","('대구', 49)","('중구', 55)","('사람', 73)","('단속', 106)","('수', 1123)","('단속', 97)","('시장', 4368)","('시설', 1763)","('분리수거', 185)","('공사', 467)","('단속', 2172)","('나무', 131)","('일', 137)","('수', 275)","('수', 379)","('단속', 504)","('주민', 88)","('방역', 33)","('층간', 248)","('차', 199)","('길', 59)","('수거', 169)","('전신주', 75)","('수', 35)","('길', 80)","('설치', 69)","('민원', 58)","('사진', 45)","('단속', 641)","('가로등', 150)","('도로', 97)","('수', 156)","('집', 180)","('수', 152)","('수', 58)","('공사', 34)","('집', 51)","('집', 32)","('음식물', 58)","('공사', 803)","('수거', 333)","('단속', 2138)","('수성', 3312)","('공사', 719)","('수성', 534)","('쓰레기', 74)","('주민', 109)","('보건소', 91)","('공사', 687)","('수', 326)","('어린이집', 96)"
"('건설', 966)","('민원', 97)","('건축', 4052)","('제조', 1753)","('행정', 182)","('쓰레기', 454)","('차량', 1774)","('수', 106)","('직원', 130)","('현수막', 224)","('소음', 339)","('노점상', 468)","('주차', 601)","('공사', 82)","('설치', 97)","('스노우', 460)","('단속', 470)","('수', 54)","('공장', 148)","('민원', 63)","('수', 95)","('에너지', 28)","('수거', 45)","('파크', 56)","('개', 41)","('검사', 46)","('가로등', 51)","('도로', 137)","('설치', 232)","('음식물', 349)","('차량', 2026)","('설치', 174)","('인도', 376)","('수', 544)","('민원', 73)","('수', 171)","('모기', 66)","('수', 194)","('앞', 107)","('수영장', 67)","('구청', 85)","('개', 78)","('수', 221)","('앞', 249)","('병원', 321)","('수', 144)","('차량', 526)","('공사', 639)","('앞', 45)","('설치', 103)","('수', 57)","('공사', 311)","('방역', 92)","('센터', 98)","('주민', 80)","('수거', 130)","('차량', 858)","('동구', 58)","('공사', 362)","('현수막', 60)","('수', 549)","('도서관', 72)","('주민', 90)","('수', 229)","('주민', 85)","('민원', 30)","('아파트', 821)","('차량', 137)","('중구', 46)","('사람', 23)","('일', 45)","('체육', 211)","('청장', 52)","('차', 684)","('소음', 57)","('사람', 34)","('길', 52)","('공사', 86)","('앞', 26)","('수', 666)","('수', 73)","('시장', 360)","('앞', 111)","('청소년', 36)","('수', 52)","('소음', 66)","('차량', 81)","('건설', 966)","('민원', 97)","('건축', 4045)","('제조', 1753)","('행정', 182)","('쓰레기', 454)","('차량', 1774)","('수', 106)","('직원', 130)","('현수막', 224)","('소음', 339)","('노점상', 468)","('통장', 75)","('일', 24)","('수', 247)","('차량', 166)","('나무', 59)","('수', 164)","('민원', 73)","('설치', 35)","('골목', 77)","('일', 63)","('공무원', 37)","('민원', 43)","('차', 550)","('주차', 133)","('골목', 94)","('서구', 155)","('수', 177)","('집', 143)","('일', 53)","('집', 25)","('저', 47)","('공단', 29)","('수거', 37)","('인도', 786)","('음식물', 251)","('차량', 2034)","('아파트', 3251)","('수성', 370)","('수', 508)","('일', 70)","('수', 84)","('방역', 79)","('수', 466)","('수성', 213)","('아이', 88)"
"('민원', 875)","('물', 80)","('북', 3996)","('건축', 1738)","('수거', 172)","('수', 269)","('차', 1628)","('설치', 99)","('센터', 127)","('나무', 222)","('음식물', 333)","('시장', 298)","('분양', 578)","('달성군', 76)","('길', 89)","('설치', 455)","('길', 458)","('증원', 42)","('민원', 135)","('길', 62)","('일', 89)","('허가', 26)","('활용', 45)","('달성군', 54)","('강아지', 40)","('수', 44)","('공사', 45)","('차', 127)","('주민', 205)","('앞', 317)","('불법', 1737)","('도로', 126)","('길', 325)","('관리', 374)","('아파트', 44)","('일', 167)","('수', 61)","('현장', 156)","('수', 100)","('일', 61)","('지속', 80)","('고양이', 72)","('냄새', 176)","('주민', 239)","('말', 179)","('공사', 143)","('차', 434)","('세대', 574)","('수', 42)","('수', 90)","('일', 47)","('수거', 254)","('모기', 67)","('저', 94)","('수', 45)","('수', 98)","('차', 740)","('일', 51)","('수', 330)","('도로', 46)","('동구', 535)","('이용', 46)","('아이', 88)","('소음', 204)","('설치', 82)","('도로', 29)","('수', 774)","('차', 128)","('민원', 39)","('민원', 20)","('센터', 44)","('센터', 203)","('전화', 45)","('차량', 638)","('현장', 41)","('앞', 33)","('내용', 52)","('소음', 80)","('곳', 22)","('아파트', 654)","('시장', 65)","('입점', 293)","('민원', 85)","('중구', 34)","('거리', 52)","('음식물', 66)","('일', 59)","('민원', 875)","('물', 80)","('북', 3992)","('건축', 1738)","('수거', 172)","('수', 269)","('차', 1628)","('설치', 99)","('센터', 127)","('나무', 222)","('음식물', 333)","('시장', 298)","('수', 72)","('냄새', 22)","('년', 233)","('단속', 142)","('수', 57)","('민원', 145)","('수', 71)","('주민', 31)","('도로', 71)","('집', 60)","('수', 23)","('구청', 40)","('차량', 456)","('앞', 130)","('수', 75)","('이마트', 152)","('냄새', 174)","('민원', 133)","('저', 45)","('땅', 22)","('사람', 46)","('서구', 28)","('수', 28)","('수', 634)","('수', 209)","('차', 1645)","('분양', 2988)","('민원', 361)","('설치', 376)","('수', 64)","('불법', 84)","('수', 75)","('아파트', 297)","('사람', 206)","('장애', 84)"
"('분할', 800)","('광고', 72)","('행정', 3920)","('아파트', 1493)","('처리', 169)","('민원', 247)","('불법', 1253)","('북구', 94)","('사람', 125)","('주민', 212)","('집', 304)","('노점', 228)","('수', 547)","('설치', 73)","('사람', 81)","('협성', 453)","('불법', 457)","('구지', 40)","('제지', 134)","('도로', 53)","('주민', 85)","('건물', 22)","('냄새', 44)","('시설', 46)","('아파트', 36)","('전화', 41)","('설치', 42)","('단속', 111)","('아이', 195)","('집', 284)","('차', 1711)","('차', 106)","('수', 298)","('민원', 367)","('소리', 43)","('직원', 128)","('병원', 46)","('민원', 147)","('인도', 92)","('생각', 61)","('일', 76)","('사람', 67)","('소리', 162)","('사람', 237)","('사람', 172)","('길', 142)","('불법', 344)","('입주', 571)","('민원', 40)","('내', 84)","('동구', 40)","('집', 169)","('수', 67)","('사람', 93)","('집', 44)","('동구', 98)","('도로', 610)","('시장', 51)","('가로등', 312)","('구청', 35)","('주민', 525)","('시설', 41)","('놀이터', 76)","('수거', 203)","('운동', 79)","('앞', 28)","('공개', 742)","('불법', 93)","('수', 31)","('새벽', 20)","('발급', 41)","('명칭', 172)","('청', 45)","('불법', 390)","('수', 34)","('광고', 32)","('수정', 47)","('수거', 73)","('공사', 22)","('중', 591)","('말', 56)","('대형', 268)","('수', 79)","('생각', 33)","('대구', 49)","('수', 65)","('차', 57)","('분할', 800)","('광고', 72)","('행정', 3914)","('아파트', 1493)","('처리', 169)","('민원', 247)","('불법', 1253)","('북구', 94)","('사람', 125)","('주민', 212)","('집', 304)","('노점', 228)","('사람', 64)","('집', 21)","('아파트', 213)","('앞', 117)","('민원', 48)","('서구', 130)","('지중화', 58)","('공원', 27)","('민원', 64)","('주민', 57)","('청', 23)","('일', 38)","('수', 298)","('수', 122)","('앞', 74)","('일', 150)","('사람', 168)","('년', 132)","('시간', 42)","('앞', 17)","('전화', 42)","('저', 27)","('집', 25)","('앞', 589)","('앞', 166)","('도로', 1497)","('공사', 2785)","('수', 332)","('주민', 336)","('가로등', 60)","('구청', 82)","('수성구', 57)","('민원', 273)","('테니스장', 206)","('등', 81)"
"('답변', 740)","('북구', 63)","('구민', 3564)","('제호', 1478)","('활용', 168)","('주민', 230)","('도로', 1156)","('주민', 91)","('말', 115)","('북구', 203)","('주민', 261)","('사람', 225)","('하나', 510)","('확진', 71)","('등', 80)","('포레', 374)","('차', 448)","('도원', 39)","('수', 130)","('수', 43)","('살장', 82)","('저', 19)","('수', 43)","('문화', 45)","('고양이', 34)","('일', 38)","('길', 37)","('불법', 104)","('민원', 194)","('수', 272)","('도로', 1231)","('민원', 84)","('설치', 291)","('구청', 362)","('주말', 39)","('사람', 125)","('거', 44)","('소리', 140)","('단속', 85)","('사람', 60)","('답변', 75)","('일', 65)","('주민', 150)","('구청', 227)","('수', 163)","('설치', 137)","('도로', 324)","('아이', 510)","('요청', 39)","('가로수', 74)","('도시', 38)","('주민', 165)","('일', 67)","('제', 92)","('동구', 39)","('민원', 83)","('불법', 482)","('사람', 48)","('길', 292)","('민원', 35)","('승인', 404)","('생각', 40)","('동구', 74)","('집', 200)","('사람', 74)","('중구', 23)","('중구', 629)","('수', 92)","('보건소', 31)","('시', 17)","('직원', 39)","('국민', 141)","('일', 40)","('사람', 335)","('시', 29)","('중', 32)","('골목', 43)","('중', 72)","('수', 22)","('승인', 561)","('원', 56)","('청', 180)","('일', 72)","('저', 32)","('앞', 48)","('일', 58)","('제', 57)","('답변', 740)","('북구', 63)","('구민', 3561)","('제호', 1478)","('활용', 168)","('주민', 230)","('도로', 1156)","('주민', 91)","('말', 115)","('북구', 203)","('주민', 261)","('사람', 225)","('불법', 64)","('격리', 17)","('민원', 212)","('도로', 114)","('도시', 44)","('악취', 126)","('불법', 51)","('구청', 24)","('집', 52)","('수', 56)","('도서관', 23)","('규정', 32)","('도로', 284)","('사람', 114)","('블럭', 68)","('구청', 107)","('수거', 159)","('서구', 131)","('생각', 41)","('차량', 16)","('서구', 40)","('명', 23)","('쓰레기통', 24)","('설치', 587)","('집', 138)","('불법', 1343)","('구청', 2489)","('현장', 314)","('등', 335)","('센터', 54)","('수성', 80)","('벌레', 42)","('소리', 269)","('운영', 192)","('구청', 72)"
"('공사', 726)","('시장', 57)","('구청장', 3173)","('등', 1437)","('북구', 167)","('아파트', 182)","('수', 841)","('공사', 89)","('수', 111)","('가로수', 186)","('공사', 250)","('장사', 219)","('달성', 504)","('주민', 66)","('민원', 79)","('휴', 345)","('차량', 399)","('보육', 28)","('주민', 126)","('공사', 41)","('등', 75)","('생각', 18)","('공장', 36)","('군민', 42)","('사람', 32)","('코로나', 37)","('불법', 32)","('민원', 93)","('사람', 164)","('처리', 237)","('앞', 951)","('앞', 82)","('앞', 270)","('건축', 347)","('거', 37)","('마스크', 120)","('코로나', 44)","('시', 133)","('주차', 82)","('달서', 55)","('주민', 72)","('구청', 62)","('아파트', 146)","('단속', 222)","('구청', 163)","('동구', 131)","('수', 275)","('등', 503)","('설치', 39)","('동구', 73)","('사람', 36)","('수', 158)","('전화', 64)","('수', 87)","('골목', 35)","('주민', 80)","('앞', 433)","('생각', 44)","('설치', 291)","('설치', 35)","('입주', 362)","('설치', 37)","('사람', 65)","('사람', 185)","('가로수', 74)","('조치', 22)","('입주', 571)","('주정차', 84)","('병원', 30)","('쓰레기', 16)","('말', 36)","('이름', 104)","('구청', 38)","('수', 313)","('아파트', 29)","('중구', 31)","('오류', 40)","('일', 59)","('설치', 20)","('해링턴', 552)","('분', 50)","('중', 147)","('번', 67)","('일', 30)","('가로수', 41)","('공사', 51)","('저', 56)","('공사', 726)","('시장', 57)","('구청장', 3172)","('등', 1437)","('북구', 167)","('아파트', 182)","('수', 841)","('공사', 89)","('수', 111)","('가로수', 186)","('공사', 250)","('장사', 219)","('일', 62)","('서구', 16)","('답변', 207)","('불법', 101)","('사람', 43)","('집', 112)","('등', 50)","('글', 24)","('공사', 49)","('사람', 51)","('대구', 21)","('수', 30)","('불법', 273)","('집', 107)","('인도', 67)","('사람', 107)","('주민', 147)","('주민', 130)","('제', 34)","('인도', 15)","('구청', 37)","('수', 23)","('처리', 18)","('차량', 481)","('활용', 134)","('앞', 945)","('입주', 2272)","('구청', 224)","('사람', 317)","('민원', 51)","('민원', 74)","('검사', 39)","('구청', 265)","('시간', 187)","('수성', 69)"
"('설치', 697)","('인도', 55)","('북구', 2863)","('지역', 1259)","('민원', 164)","('현장', 176)","('앞', 799)","('불편', 88)","('제', 103)","('등', 176)","('앞', 249)","('동변동', 211)","('삼정', 498)","('차량', 66)","('곳', 70)","('아파트', 322)","('아이', 379)","('곳', 27)","('냄새', 122)","('요청', 32)","('설치', 72)","('설치', 16)","('음식물', 32)","('이용', 38)","('민원', 32)","('격리', 31)","('달성군', 29)","('수', 92)","('부탁', 157)","('활용', 237)","('주정차', 844)","('불법', 75)","('가로등', 240)","('등', 326)","('주민', 35)","('말', 114)","('부탁', 36)","('때문', 132)","('사람', 78)","('민원', 55)","('수', 72)","('저', 51)","('민원', 138)","('설치', 220)","('보건소', 145)","('앞', 128)","('주정차', 270)","('안전', 460)","('도로', 37)","('이용', 70)","('길', 36)","('앞', 157)","('격리', 58)","('말', 79)","('센터', 30)","('음식물', 79)","('수', 432)","('구청', 42)","('인도', 260)","('조치', 34)","('분양', 350)","('저', 37)","('신평동', 65)","('주민', 168)","('앞', 68)","('등', 20)","('더샵', 552)","('민원', 83)","('중', 29)","('때문', 15)","('제', 34)","('지역', 101)","('답변', 34)","('일', 311)","('남산', 28)","('불법', 30)","('부분', 40)","('중구', 55)","('골목길', 20)","('구청', 524)","('중', 49)","('홈플러스', 146)","('골목', 66)","('중', 30)","('인도', 38)","('집', 49)","('수', 55)","('설치', 697)","('인도', 55)","('북구', 2859)","('지역', 1259)","('민원', 164)","('현장', 176)","('앞', 799)","('불편', 88)","('제', 103)","('등', 176)","('앞', 249)","('동변동', 211)","('집', 61)","('보건소', 15)","('서구', 193)","('서구', 93)","('철거', 43)","('냄새', 106)","('주차', 44)","('시간', 23)","('앞', 47)","('직원', 49)","('주민', 21)","('민원인', 29)","('앞', 247)","('부탁', 96)","('자전거', 67)","('산점', 106)","('일', 141)","('일', 123)","('말', 32)","('시', 15)","('일', 36)","('대구', 22)","('생각', 18)","('주민', 470)","('일', 128)","('수', 911)","('승인', 1788)","('먼지', 223)","('생각', 295)","('분', 49)","('인도', 71)","('때문', 38)","('주민', 261)","('이용', 180)","('고산', 66)"
"('당시', 641)","('앞', 52)","('대구', 2806)","('건축물', 1232)","('투기', 155)","('집', 166)","('민원', 632)","('가로수', 86)","('동사무소', 97)","('사람', 166)","('일', 238)","('일', 200)","('건설', 483)","('사업', 62)","('주민', 66)","('길', 322)","('주정차', 367)","('입소', 27)","('아파트', 110)","('주민', 30)","('요청', 63)","('도시', 16)","('시간', 31)","('년', 36)","('달성군', 31)","('병원', 29)","('등', 28)","('버스', 82)","('나무', 153)","('투기', 235)","('수', 735)","('수', 68)","('차량', 222)","('일', 290)","('수', 34)","('제', 113)","('확진', 36)","('아파트', 130)","('민원', 73)","('조형물', 55)","('공개', 71)","('민원', 45)","('시', 136)","('불법', 202)","('우리', 127)","('인도', 111)","('설치', 262)","('학교', 381)","('동구', 34)","('민원', 69)","('마리', 34)","('민원', 149)","('부탁', 40)","('동사무소', 78)","('일', 29)","('시', 78)","('동구', 338)","('저', 40)","('사람', 257)","('물', 34)","('일', 338)","('운동', 35)","('설치', 64)","('앞', 165)","('동구', 67)","('길', 19)","('대봉', 546)","('도로', 80)","('사람', 26)","('집', 15)","('저', 34)","('확정', 90)","('통화', 34)","('앞', 307)","('개발', 28)","('물', 29)","('중', 39)","('앞', 53)","('길', 20)","('공사', 501)","('구청', 49)","('답변', 125)","('인도', 64)","('골목', 29)","('나무', 38)","('중구', 48)","('견인', 54)","('당시', 641)","('앞', 52)","('대구', 2802)","('건축물', 1232)","('투기', 155)","('집', 166)","('민원', 632)","('가로수', 86)","('동사무소', 97)","('사람', 166)","('일', 238)","('일', 200)","('앞', 56)","('수', 14)","('공사', 188)","('민원', 83)","('주민', 41)","('주민', 106)","('답변', 43)","('민원', 22)","('서구', 44)","('생각', 46)","('고충', 21)","('레미콘', 29)","('일', 226)","('설치', 89)","('길', 63)","('도시', 89)","('서구', 135)","('공사', 123)","('복지', 30)","('수', 15)","('말', 36)","('동네', 21)","('곳', 18)","('길', 458)","('청소', 127)","('주정차', 803)","('일', 1528)","('진동', 222)","('구청', 247)","('부탁', 47)","('앞', 68)","('수성', 34)","('집', 253)","('생각', 175)","('학교', 62)"
"('인도', 583)","('노점', 51)","('허가', 2656)","('별표', 1152)","('수', 144)","('북구', 161)","('아파트', 609)","('앞', 83)","('저', 93)","('일', 158)","('수거', 230)","('인도', 190)","('군청', 473)","('통행', 58)","('쪽', 62)","('수', 288)","('스쿨', 367)","('일', 21)","('소리', 104)","('쪽', 29)","('장', 63)","('건축', 15)","('사람', 31)","('골프장', 36)","('동물', 31)","('저', 27)","('아파트', 26)","('주정차', 82)","('이용', 151)","('불법', 233)","('민원', 712)","('단속', 61)","('주민', 221)","('집', 289)","('현장', 34)","('민원', 103)","('검사', 35)","('냄새', 124)","('불편', 63)","('센터', 54)","('정보', 69)","('문제', 42)","('집', 124)","('도로', 186)","('생각', 113)","('주민', 110)","('앞', 250)","('동대구', 357)","('철거', 34)","('길', 56)","('구청', 31)","('일', 124)","('코로나', 39)","('직원', 77)","('에너지', 29)","('공사', 78)","('차선', 295)","('집', 37)","('동구', 253)","('철거', 33)","('건물', 331)","('관광', 35)","('길', 58)","('일', 160)","('생각', 60)","('건물', 19)","('등', 541)","('설치', 71)","('일', 24)","('앞', 14)","('서류', 33)","('대표', 81)","('지명', 34)","('도로', 294)","('문', 26)","('공사', 28)","('수', 39)","('민원', 49)","('일', 19)","('플레이스', 499)","('년', 46)","('수', 120)","('구청', 63)","('사람', 25)","('도로', 36)","('처리', 48)","('스티커', 48)","('인도', 583)","('노점', 51)","('허가', 2653)","('별표', 1152)","('수', 144)","('북구', 161)","('아파트', 609)","('앞', 83)","('저', 93)","('일', 158)","('수거', 230)","('인도', 190)","('분', 51)","('부탁', 14)","('문제', 186)","('설치', 82)","('서구', 40)","('앞', 100)","('사람', 42)","('년', 22)","('설치', 42)","('구청', 43)","('업무', 20)","('등', 26)","('견인', 199)","('주민', 86)","('차', 61)","('답변', 85)","('민원', 133)","('사람', 93)","('전화', 28)","('평리동', 13)","('답변', 35)","('저희', 20)","('앞', 18)","('민원', 438)","('구청', 125)","('설치', 780)","('문제', 1521)","('주민', 216)","('나무', 241)","('앞', 47)","('현수막', 68)","('병원', 33)","('현장', 233)","('주민', 155)","('원', 61)"
